	Age	T0_PHQ13_Total	T0_SF12_MCS	T0_SF12_PCS	T0_HADS	T0_Satisfaction_Total
p	2.453654923040443e-08	5.158367750788866e-26	4.860626903048581e-07	0.00011492834012053873	3.4623068591510774e-15	1.667139957413987e-06
stat	-5.593926428193637	10.664873552199747	-5.0446198580997885	-3.862649140258067	7.921585814883355	-4.801274198259012
effect	-0.24593187633194935	0.4698282527495447	-0.22194368638943054	-0.16985579496799258	0.3489299515061551	-0.21163749499628168
