	T0_Sat1	T0_Sat2	T0_Sat3	T0_Sat4	T0_Sat5	T0_Sat6	T0_Sat7	T0_Sat8	T0_IPQ6	T0_IPQ3	T0_IPQ4	T0_IPQ5	T0_Wbelieve	T1_Sat1	T1_Sat2	T1_Sat3	T1_Sat4	T1_Sat5	T1_Sat6	T1_Sat7	T1_Sat8	T1_IPQ6	T1_IPQ3	T1_IPQ4	T1_IPQ5	T1_Wbelieve
p	2.7933468301781514e-14	2.9753331568906805e-09	9.000242367697897e-06	0.40644547474086373	0.43449047399258545	0.002903343685812164	0.0012432370375434745	8.353904574322915e-23	5.102361909381193e-19	1.6894036904582902e-10	1.985180746184644e-10	5.735870109774624e-11	2.4445898674853773e-09	0.0005505755020967492	0.0001913899895537689	8.62457198476179e-06	0.31068950984213584	0.797765218687766	0.16979226766179573	0.012929168226999938	6.3606695108486675e-12	1.0311596951301943e-10	6.055553422461071e-06	0.005951659347303386	0.013847855300773792	1.363993436894358e-05
stat	91.27673962994294	64.79457142506719	45.342853001808926	12.499459784463275	12.140152959160256	29.88753963534267	32.30091709738855	134.32159936420112	115.39370550531024	71.48259250068455	71.10913566572745	73.97564631933164	43.01368678554985	34.55771106715778	37.413591493138476	45.450697038637635	13.84540102407661	7.836605307756004	16.490410851435367	25.425792806630774	79.01436904970812	72.62356874998656	46.342776400058696	27.782580789716356	25.21239477311393	25.257499340489417
effect																										
