		1.0	2.0	3.0	4.0
T0_Sat8	%	(0.08520179372197309, 0.19955156950672645, 0.21076233183856502, 0.23766816143497757, 0.26681614349775784)	(0.056195965417867436, 0.11095100864553314, 0.2564841498559078, 0.3112391930835735, 0.26512968299711814)	(0.02774813233724653, 0.10458911419423693, 0.21771611526147278, 0.30202774813233724, 0.3479188900747065)	(0.02127659574468085, 0.07565011820330969, 0.2222222222222222, 0.3120567375886525, 0.36879432624113473)
T0_IPQ6	N	445	695	937	1695
T0_IPQ6	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T0_IPQ6	N(i)	(57, 111, 122, 124, 31)	(67, 153, 191, 203, 81)	(70, 168, 246, 334, 119)	(83, 263, 392, 710, 247)
T0_IPQ6	%	(0.12808988764044943, 0.24943820224719102, 0.27415730337078653, 0.2786516853932584, 0.0696629213483146)	(0.09640287769784173, 0.22014388489208633, 0.27482014388489207, 0.2920863309352518, 0.11654676258992806)	(0.07470651013874066, 0.17929562433297758, 0.26254002134471716, 0.35645677694770544, 0.12700106723585913)	(0.04896755162241888, 0.15516224188790562, 0.2312684365781711, 0.41887905604719766, 0.1457227138643068)
T0_IPQ3	N	444	693	929	1690
T0_IPQ3	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T0_IPQ3	N(i)	(24, 88, 53, 177, 102)	(46, 138, 85, 268, 156)	(71, 239, 113, 331, 175)	(196, 468, 217, 550, 259)
T0_IPQ3	%	(0.05405405405405406, 0.1981981981981982, 0.11936936936936937, 0.39864864864864863, 0.22972972972972974)	(0.06637806637806638, 0.19913419913419914, 0.12265512265512266, 0.38672438672438675, 0.22510822510822512)	(0.07642626480086114, 0.2572658772874058, 0.1216361679224973, 0.356297093649085, 0.1883745963401507)	(0.11597633136094675, 0.27692307692307694, 0.12840236686390533, 0.3254437869822485, 0.15325443786982249)
T0_IPQ4	N	445	695	938	1695
T0_IPQ4	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T0_IPQ4	N(i)	(66, 145, 61, 121, 52)	(110, 219, 102, 159, 105)	(194, 271, 162, 222, 89)	(395, 567, 251, 366, 116)
T0_IPQ4	%	(0.14831460674157304, 0.3258426966292135, 0.13707865168539327, 0.27191011235955054, 0.11685393258426967)	(0.15827338129496402, 0.31510791366906477, 0.14676258992805755, 0.22877697841726619, 0.1510791366906475)	(0.2068230277185501, 0.2889125799573561, 0.17270788912579957, 0.23667377398720682, 0.09488272921108742)	(0.23303834808259588, 0.3345132743362832, 0.1480825958702065, 0.215929203539823, 0.06843657817109144)
T0_IPQ5	N	443	695	938	1696
T0_IPQ5	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T0_IPQ5	N(i)	(54, 125, 53, 167, 44)	(90, 206, 107, 207, 85)	(153, 280, 149, 280, 76)	(333, 576, 229, 463, 95)
T0_IPQ5	%	(0.12189616252821671, 0.28216704288939054, 0.11963882618510158, 0.37697516930022573, 0.09932279909706546)	(0.12949640287769784, 0.29640287769784174, 0.1539568345323741, 0.29784172661870506, 0.1223021582733813)	(0.1631130063965885, 0.29850746268656714, 0.15884861407249468, 0.29850746268656714, 0.08102345415778252)	(0.1963443396226415, 0.33962264150943394, 0.13502358490566038, 0.27299528301886794, 0.05601415094339623)
T0_Wbelieve	N	444	695	939	1690
T0_Wbelieve	i	(0.0, 1.0)	(0.0, 1.0)	(0.0, 1.0)	(0.0, 1.0)
T0_Wbelieve	N(i)	(286, 158)	(470, 225)	(668, 271)	(1306, 384)
