	T0_Sat1	T0_Sat2	T0_Sat3	T0_Sat4	T0_Sat5	T0_Sat6	T0_Sat7	T0_Sat8	T1_Sat1	T1_Sat2	T1_Sat3	T1_Sat4	T1_Sat5	T1_Sat6	T1_Sat7	T1_Sat8
p	5.529514372438813e-13	1.9139398390585922e-10	2.5733869511169636e-07	0.2670001896901037	0.413466808207539	0.0009642003578236956	0.000123476743099176	2.111846237109575e-21	2.5173820517586283e-05	3.16955484461716e-06	4.7172951589520656e-07	0.8255589321342844	0.8033640588888212	0.05863704358263005	0.0013367809761953798	4.497936199783607e-15
stat	20.199617287330298	16.17365919484125	11.202072347702968	1.3169207267277208	0.9540871632305123	5.458886595946604	6.906786412380608	33.5634580471806	8.030618449718636	9.477605309299518	10.803199688380479	0.29981300321050064	0.3304231782471233	2.4893238846128716	5.2320767176119665	23.619141346215844
effect																
