	llrp
AgeBins	0.0930703009146503
Gender	0.07832136119453015
Diagnosis	0.9410143562827274
T0_SIMD04_bin	0.9315850801988133
T0_SF12_PF	5.833964977774997e-08
T0_Sat1_Poor_Bin	0.47142543857159325
T0_Sat2_Poor_Bin	0.8207932853460914
T0_Sat3_Poor_Bin	0.9831631984279876
T0_Sat4_Poor_Bin	3.5459405300253266e-05
T0_Sat5_Poor_Bin	0.8178504546408663
T0_Sat6_Poor_Bin	0.33536626022083904
T0_Sat7_Poor_Bin	0.16021855705535426
T0_Sat8_Poor_Bin	0.5580660408011695
