		1.0	2.0
T1_Sat1	%	(0.047748976807639835, 0.12414733969986358, 0.2783083219645293, 0.3424283765347885, 0.2073669849931787)	(0.024563318777292575, 0.09170305676855896, 0.24672489082969432, 0.39792576419213976, 0.2390829694323144)
T1_Sat2	N	735	1832
T1_Sat2	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T1_Sat2	N(i)	(28, 74, 171, 251, 211)	(34, 116, 375, 676, 631)
T1_Sat2	%	(0.0380952380952381, 0.10068027210884353, 0.23265306122448978, 0.3414965986394558, 0.2870748299319728)	(0.018558951965065504, 0.06331877729257641, 0.2046943231441048, 0.36899563318777295, 0.34443231441048033)
T1_Sat3	N	739	1845
T1_Sat3	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T1_Sat3	N(i)	(27, 75, 143, 236, 258)	(27, 101, 328, 653, 736)
T1_Sat3	%	(0.036535859269282815, 0.10148849797023005, 0.19350473612990526, 0.3193504736129905, 0.3491204330175913)	(0.014634146341463415, 0.054742547425474256, 0.17777777777777778, 0.35392953929539295, 0.3989159891598916)
T1_Sat4	N	737	1828
T1_Sat4	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T1_Sat4	N(i)	(220, 129, 151, 138, 99)	(465, 377, 387, 377, 222)
T1_Sat4	%	(0.29850746268656714, 0.17503392130257803, 0.20488466757123475, 0.18724559023066487, 0.13432835820895522)	(0.25437636761487964, 0.2062363238512035, 0.21170678336980306, 0.2062363238512035, 0.12144420131291028)
T1_Sat5	N	738	1834
T1_Sat5	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T1_Sat5	N(i)	(93, 186, 235, 136, 88)	(209, 466, 593, 384, 182)
T1_Sat5	%	(0.12601626016260162, 0.25203252032520324, 0.31842818428184283, 0.1842818428184282, 0.11924119241192412)	(0.11395856052344602, 0.25408942202835333, 0.3233369683751363, 0.2093784078516903, 0.09923664122137404)
T1_Sat6	N	709	1813
T1_Sat6	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T1_Sat6	N(i)	(31, 92, 214, 220, 152)	(63, 250, 489, 613, 398)
T1_Sat6	%	(0.04372355430183357, 0.12976022566995768, 0.3018335684062059, 0.31029619181946405, 0.2143864598025388)	(0.03474903474903475, 0.13789299503585217, 0.26971869829012685, 0.33811362382790955, 0.21952564809707667)
T1_Sat7	N	730	1829
T1_Sat7	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T1_Sat7	N(i)	(26, 95, 218, 236, 155)	(41, 186, 504, 653, 445)
T1_Sat7	%	(0.03561643835616438, 0.13013698630136986, 0.29863013698630136, 0.3232876712328767, 0.21232876712328766)	(0.02241662110442865, 0.1016949152542373, 0.27556041552761074, 0.35702569710224163, 0.24330235101148168)
T1_Sat8	N	723	1802
T1_Sat8	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T1_Sat8	N(i)	(127, 169, 159, 159, 109)	(178, 304, 407, 536, 377)
T1_Sat8	%	(0.17565698478561548, 0.23374827109266944, 0.21991701244813278, 0.21991701244813278, 0.1507607192254495)	(0.09877913429522753, 0.16870144284128746, 0.22586015538290788, 0.2974472807991121, 0.20921198668146504)
T1_IPQ3	N	733	1831
T1_IPQ3	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T1_IPQ3	N(i)	(52, 140, 121, 279, 141)	(190, 431, 328, 620, 262)
T1_IPQ3	%	(0.07094133697135062, 0.19099590723055934, 0.165075034106412, 0.3806275579809004, 0.19236016371077763)	(0.10376843255051885, 0.23539049699617695, 0.1791370835608957, 0.3386127799016931, 0.14309120699071545)
T1_IPQ4	N	738	1843
T1_IPQ4	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T1_IPQ4	N(i)	(100, 179, 178, 210, 71)	(318, 533, 392, 425, 175)
T1_IPQ4	%	(0.13550135501355012, 0.24254742547425473, 0.24119241192411925, 0.2845528455284553, 0.09620596205962059)	(0.17254476397178514, 0.2892023874118285, 0.21269669017905588, 0.23060227889310905, 0.09495387954422138)
T1_IPQ5	N	738	1849
T1_IPQ5	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T1_IPQ5	N(i)	(97, 161, 171, 244, 65)	(298, 512, 428, 479, 132)
T1_IPQ5	%	(0.13143631436314362, 0.2181571815718157, 0.23170731707317074, 0.33062330623306235, 0.08807588075880758)	(0.1611681990265008, 0.27690643591130343, 0.2314764737696052, 0.25905895078420765, 0.0713899405083829)
T1_IPQ6	N	737	1844
T1_IPQ6	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T1_IPQ6	N(i)	(87, 167, 225, 202, 56)	(135, 277, 561, 672, 199)
T1_IPQ6	%	(0.11804613297150611, 0.2265943012211669, 0.30529172320217096, 0.27408412483039346, 0.07598371777476255)	(0.07321041214750543, 0.1502169197396963, 0.30422993492407807, 0.3644251626898048, 0.1079175704989154)
T1_Wbelieve	N	732	1840
T1_Wbelieve	i	(0.0, 1.0)	(0.0, 1.0)
T1_Wbelieve	N(i)	(441, 291)	(1291, 549)
T1_Wbelieve	%	(0.6024590163934426, 0.3975409836065574)	(0.7016304347826087, 0.29836956521739133)
