		coeff	coeffLCI	coeffUCI	OR	ORLCI	ORUCI	p
T0_Sat8_Poor_Bin	constant	0.5382463904215262	0.2155855199171628	0.8609072609258897	1.713000293059283	1.2405880733758958	2.365305669944225	0.0010773322426177365
T0_Sat8_Poor_Bin	Binned Ages - 36-45	0.3869561737946928	0.06117095905731523	0.7127413885320704	1.472491956124198	1.0630806419171441	2.0395748688832374	0.01991337758006153
T0_Sat8_Poor_Bin	Binned Ages - 46-55	0.2688320477399975	-0.05794091459546141	0.5956050100754564	1.3084353679141778	0.9437057050228992	1.8141281788342771	0.10686666829289546
T0_Sat8_Poor_Bin	Binned Ages - >=56	0.122253492201033	-0.16630051336690926	0.41080749776897524	1.1300405219353091	0.8467917237174504	1.5080350285071047	0.40631815896231016
T0_Sat8_Poor_Bin	T0 Patient gender - Female	-0.19525229892452226	-0.41314301175278134	0.022638413903736804	0.8226270839431951	0.6615676641109874	1.0228966074789225	0.07903248636933136
T0_Sat8_Poor_Bin	T0 Neurologist assigned explanation of symptoms by organic disease - Completely explained	-0.008606556298596451	-0.23662237579715742	0.21940926319996454	0.9914303740833168	0.789289286485973	1.245340844585826	0.9410265434376603
T0_Sat8_Poor_Bin	T0 SIMD 2004 Quintile - Binned - 5 (Most Deprived)	-0.013060295471902498	-0.31104137991610964	0.2849207889723046	0.9870246201108168	0.7326835568579201	1.3296567004762465	0.9315428873274949
T0_Sat8_Poor_Bin	T0 SF12 Physical Functioning Scale - 0.0	1.1116428338593367	0.7116113302536182	1.5116743374650552	3.0393474381102754	2.037271332228607	4.534316417952186	5.1364589772631514e-08
T0_Sat8_Poor_Bin	T0 SF12 Physical Functioning Scale - 25.0	0.7624176670854524	0.326844231941333	1.197991102229572	2.1434521148082357	1.386585474630031	3.313453842217534	0.0006020800797376457
T0_Sat8_Poor_Bin	T0 SF12 Physical Functioning Scale - 50.0	0.2586808498467458	-0.04829633480204992	0.5656580344955415	1.295220369078227	0.9528513822106458	1.7606059410682307	0.09861503620332235
T0_Sat8_Poor_Bin	T0 SF12 Physical Functioning Scale - 75.0	0.2900419567689829	-0.017643758062895476	0.5977276716008613	1.3364835613811699	0.9825109816366201	1.817983048766282	0.06466415270829112
T0_Sat8_Poor_Bin	T0 Satisfaction - The visit overall? (Binarised) - Poor/Fair	0.24698299270746502	-0.4347466351576189	0.928712620572549	1.2801573405827453	0.6474286819653133	2.531248402021966	0.4776588972456455
T0_Sat8_Poor_Bin	T0 Satisfaction - The thoroughness, carefulness and competence of the doctor you saw? (Binarised) - Poor/Fair	0.11287866721981363	-0.8666169216907145	1.0923742561303418	1.1194960931344538	0.4203712953485511	2.9813441507802163	0.8213029652109406
T0_Sat8_Poor_Bin	T0 Satisfaction - The personal manner (courtesy, respect, sensitivity, friendliness) of the doctor you saw? (Binarised) - Poor/Fair	-0.00964036642439412	-0.9046873174031763	0.885406584554388	0.9904059529432786	0.40466839808835037	2.423969739814783	0.9831576138455403
T0_Sat8_Poor_Bin	T0 Satisfaction - The length of time you waited between being referred by your doctor and seeing the neurologist today? (Binarised) - Poor/Fair	0.48645288582962154	0.25324808632782286	0.7196576853314203	1.6265364647469185	1.2882028227032865	2.0537300683750894	4.3439376383697947e-05
T0_Sat8_Poor_Bin	T0 Satisfaction - Length of time spent waiting at the clinic today? (Binarised) - Poor/Fair	0.02878802566300968	-0.2163798757018739	0.27395592702789323	1.0292064060052306	0.8054292807388326	1.3151568380907666	0.8179812318534332
T0_Sat8_Poor_Bin	T0 Satisfaction - Convenience of the location of the clinic? (Binarised) - Poor/Fair	-0.14807793465414287	-0.4477995975435781	0.15164372823529237	0.8623639042904339	0.6390327349304444	1.163745552884682	0.3328830164795241
T0_Sat8_Poor_Bin	T0 Satisfaction - Time spent with the doctor you saw? (Binarised) - Poor/Fair	0.4332768327010411	-0.18641274300967647	1.0529664084117587	1.5423031215468108	0.8299309760711291	2.866140663882355	0.17056992978144636
T0_Sat8_Poor_Bin	T0 Satisfaction - Explanation given to you about the cause of your symptoms? (Binarised) - Poor/Fair	-0.12868783839847395	-0.5566430743518129	0.2992673975548651	0.8792483902965741	0.5731297922732659	1.348870259863435	0.5556138001239064
