	Gender	T0_NegExpectation	Diagnosis	T0_SIMD04_bin
p	0.00031801820387572266	0.17329798052045942	0.00019096796592584027	2.0305696854181905e-10
stat	12.96117100641916	1.8541803166959299	19.75302081560509	40.43701992659279
effect	1.2915031778183927	1.1045703581639694		0.5815596954518994
