	llrp
AgeBins	0.2374827604385823
Gender	0.9596750888782716
T0_SF12_PF	1.159062630318175e-06
T0_SIMD04_bin	0.15150409676436305
T0_Sat6_Poor_Bin	0.0147113793569843
