		coeff	coeffLCI	coeffUCI	OR	ORLCI	ORUCI	p
T0_Sat5_Poor_Bin	constant	0.23921970915934557	-0.19155994332463092	0.6699993616433221	1.270257593155016	0.8256701302104	1.9542360731358939	0.27641708550269695
T0_Sat5_Poor_Bin	Binned Ages - 36-45	0.18356601193717123	-0.2649863471238013	0.6321183709981438	1.2014942757585916	0.7672164246152139	1.8815922709223454	0.4224965012404941
T0_Sat5_Poor_Bin	Binned Ages - 46-55	0.37715839216380287	-0.12312538402951734	0.8774421683571231	1.4581352482783785	0.8841527969701857	2.4047409107993176	0.1395161819779557
T0_Sat5_Poor_Bin	Binned Ages - >=56	0.4610277239975392	-0.024228446612454213	0.9462838946075327	1.5857028126920283	0.9760627060679162	2.57611872121303	0.06258835140494869
T0_Sat5_Poor_Bin	T0 Patient gender - Female	0.043096358386226774	-0.31954507153903844	0.405737788311492	1.0440384918680867	0.7264794580908193	1.5004090760759305	0.815821668145335
T0_Sat5_Poor_Bin	T0 SF12 Physical Functioning Scale - 0.0	1.6035611264462	0.9041882644435549	2.302933988448845	4.970702242705665	2.469926182198135	10.003489563258974	6.992561471648589e-06
T0_Sat5_Poor_Bin	T0 SF12 Physical Functioning Scale - 25.0	0.5597200675503028	-0.10582760802776014	1.2252677431283656	1.7501824988413293	0.899579715030652	3.405077646894368	0.09928836965855137
T0_Sat5_Poor_Bin	T0 SF12 Physical Functioning Scale - 50.0	0.3826497466853812	-0.13263599349504773	0.8979354868658102	1.4661644111804981	0.8757838251040798	2.4545304663017613	0.14554091528029567
T0_Sat5_Poor_Bin	T0 SF12 Physical Functioning Scale - 75.0	-0.02785197300187193	-0.48771966592400656	0.4320157199202627	0.9725323171862079	0.614024981043519	1.5403593292966369	0.9055086108359681
T0_Sat5_Poor_Bin	T0 SIMD 2004 Quintile - Binned - 5 (Most Deprived)	0.39552291292746333	-0.11833060144264973	0.9093764272975764	1.4851605975825173	0.88840229697824	2.482773860574209	0.13139543470663337
T0_Sat5_Poor_Bin	T0 Satisfaction - Length of time spent waiting at the clinic today? (Binarised) - Poor/Fair	0.7938232890022531	0.39523859763588853	1.1924079803686176	2.211836772239611	1.4847384037351077	3.2950059719100264	9.482166505865504e-05
