		coeff	coeffLCI	coeffUCI	OR	ORLCI	ORUCI	p
T0_Sat2_Poor_Bin	constant	0.7209772302036948	0.4698897501600114	0.9720647102473781	2.056441846118579	1.5998178038372044	2.6433966769993034	1.8244131015856973e-08
T0_Sat2_Poor_Bin	Binned Ages - 36-45	0.38941383077051517	0.0664916153158453	0.7123360462251851	1.4761152868802967	1.0687520028896211	2.038748310431691	0.01810164912572708
T0_Sat2_Poor_Bin	Binned Ages - 46-55	0.2952599026301401	-0.028112994993664098	0.6186328002539443	1.3434754861271145	0.9722784979913308	1.856388252494894	0.07352289632378234
T0_Sat2_Poor_Bin	Binned Ages - >=56	0.1454520516085508	-0.139236082748185	0.4301401859652866	1.156562277951833	0.8700226068829446	1.537473040583993	0.3166435052292391
T0_Sat2_Poor_Bin	T0 Patient gender - Female	-0.21457103846385897	-0.4304142664556295	0.0012721895279115825	0.8068874896481167	0.6502396664376944	1.0012729991042841	0.05136570062638109
T0_Sat2_Poor_Bin	T0 SF12 Physical Functioning Scale - 0.0	1.1058089771463648	0.7090487725397255	1.502569181753004	3.021667940624748	2.032057390227759	4.49321814792644	4.6918789930051156e-08
T0_Sat2_Poor_Bin	T0 SF12 Physical Functioning Scale - 25.0	0.7824806494820102	0.3503444468168569	1.2146168521471636	2.1868904510747957	1.4195564260845894	3.369002990739265	0.00038675652681746696
T0_Sat2_Poor_Bin	T0 SF12 Physical Functioning Scale - 50.0	0.23582151055611777	-0.06817199385372597	0.5398150149659615	1.2659483315863957	0.9340998003357802	1.715689455955653	0.12840225892464605
T0_Sat2_Poor_Bin	T0 SF12 Physical Functioning Scale - 75.0	0.2977521050499176	-0.007708745680919615	0.6032129557807548	1.3468278746648046	0.9923208904975843	1.8279826025475883	0.05606867819598373
T0_Sat2_Poor_Bin	T0 SIMD 2004 Quintile - Binned - 5 (Most Deprived)	-0.040357755750928516	-0.33425686822270007	0.253541356720843	0.9604457726830284	0.7158698743858615	1.2885806698543734	0.7878226291964108
T0_Sat2_Poor_Bin	T0 Satisfaction - The thoroughness, carefulness and competence of the doctor you saw? (Binarised) - Poor/Fair	0.550690405652682	-0.15413519903791895	1.255516010343283	1.7344500787297028	0.8571561264935721	3.509648922316875	0.12568337978881983
