		coeff	coeffLCI	coeffUCI	OR	ORLCI	ORUCI	p
T0_Sat1_Poor_Bin	constant	0.4379462264899309	0.017048239519807606	0.8588442134600542	1.5495215819647878	1.017194390110658	2.3604309621816317	0.041414985247031105
T0_Sat1_Poor_Bin	Binned Ages - 36-45	0.1940445962932613	-0.24934072048927733	0.6374299130757999	1.2141504283574485	0.7793143997604948	1.8916130166895755	0.39102222253813557
T0_Sat1_Poor_Bin	Binned Ages - 46-55	0.41291740674016947	-0.08312749048243734	0.9089623039627763	1.511220204176362	0.9202338186876484	2.481745898849674	0.10278231141402641
T0_Sat1_Poor_Bin	Binned Ages - >=56	0.4263705749803696	-0.055611016621491594	0.9083521665822308	1.5316882753286285	0.9459070064411131	2.4802321547506594	0.08294941904421736
T0_Sat1_Poor_Bin	T0 Patient gender - Female	0.039491624513955215	-0.31845489418588513	0.39743814321379556	1.0402817859828895	0.7272718814060551	1.4880077477428788	0.8288010968319417
T0_Sat1_Poor_Bin	T0 SF12 Physical Functioning Scale - 0.0	1.68725546339004	0.9902127330490454	2.3842981937310346	5.404627134337105	2.691807047764959	10.85144438025984	2.092580640363587e-06
T0_Sat1_Poor_Bin	T0 SF12 Physical Functioning Scale - 25.0	0.566718018753436	-0.09245722456720884	1.2258932620740808	1.7624731450787197	0.9116882079880658	3.407208253772145	0.09197785332300468
T0_Sat1_Poor_Bin	T0 SF12 Physical Functioning Scale - 50.0	0.4551732413042587	-0.052949608430777395	0.9632960910392947	1.5764464650204626	0.9484278040434823	2.6203190653841006	0.07913565520816611
T0_Sat1_Poor_Bin	T0 SF12 Physical Functioning Scale - 75.0	0.014890969275902593	-0.43919037588376664	0.46897231443557186	1.015002392136703	0.6445580596384659	1.5983507468994924	0.9487518117233815
T0_Sat1_Poor_Bin	T0 SIMD 2004 Quintile - Binned - 5 (Most Deprived)	0.36586493407078385	-0.14235615671849428	0.8740860248600619	1.441760496781841	0.8673123023676165	2.396683783230323	0.15825497930069743
T0_Sat1_Poor_Bin	T0 Satisfaction - The visit overall? (Binarised) - Poor/Fair	0.07214338892159791	-0.5421723178654264	0.6864590957086222	1.074809448782879	0.5814837119234945	1.9866684612224312	0.817957904579568
