		coeff	coeffLCI	coeffUCI	OR	ORLCI	ORUCI	p
T0_Sat6_Poor_Bin	constant	0.7294809753349103	0.4760851328204534	0.9828768178493672	2.074003869107799	1.609760053538767	2.672132433413331	1.6771232992929462e-08
T0_Sat6_Poor_Bin	Binned Ages - 36-45	0.3752437525219385	0.05301694470147922	0.6974705603423977	1.4553461156727954	1.0544475122662995	2.0086654781437683	0.022463214026553324
T0_Sat6_Poor_Bin	Binned Ages - 46-55	0.2796337189478509	-0.04311349819177501	0.6023809360874768	1.322645263703553	0.9578026750259744	1.8264623175645238	0.08948013799787362
T0_Sat6_Poor_Bin	Binned Ages - >=56	0.12262603960666994	-0.16074873440871068	0.4060008136220506	1.1304615940298088	0.8515059983879146	1.500803773544567	0.3963577664377771
T0_Sat6_Poor_Bin	T0 Patient gender - Female	-0.2141670016439645	-0.42995464358728774	0.0016206402993587665	0.8072135677727952	0.6505386001514151	1.0016219542465647	0.051745621759201686
T0_Sat6_Poor_Bin	T0 SF12 Physical Functioning Scale - 0.0	1.1104120859865725	0.7137274350134211	1.507096736959724	3.035609068683228	2.0415869763588703	4.513607563419358	4.1022485582049675e-08
T0_Sat6_Poor_Bin	T0 SF12 Physical Functioning Scale - 25.0	0.7855543549577635	0.3536374855018339	1.2174712244136932	2.193622649326156	1.4242387856754966	3.378633116885978	0.0003642591608100115
T0_Sat6_Poor_Bin	T0 SF12 Physical Functioning Scale - 50.0	0.24188259581884305	-0.06177677363121123	0.5455419652688973	1.2736446528305063	0.9400927168539241	1.7255433135493603	0.11847022396729291
T0_Sat6_Poor_Bin	T0 SF12 Physical Functioning Scale - 75.0	0.29663310905065093	-0.008791305567994234	0.6020575236692961	1.3453216225635627	0.9912472249649	1.8258717124793418	0.056969001207302375
T0_Sat6_Poor_Bin	T0 SIMD 2004 Quintile - Binned - 5 (Most Deprived)	-0.02548786317688849	-0.3186597524429836	0.2676840260892066	0.9748342102843169	0.7271229090156267	1.3069341176819183	0.8646987803773007
T0_Sat6_Poor_Bin	T0 Satisfaction - Convenience of the location of the clinic? (Binarised) - Poor/Fair	0.08853521228546296	-0.18914518180605366	0.3662156063769796	1.0925727239157876	0.8276663358781841	1.4422661709180051	0.5320287758078712
