		coeff	coeffLCI	coeffUCI	OR	ORLCI	ORUCI	p
T0_Sat1	constant	0.24147270219300848	-0.2583384576756832	0.7412838620617002	1.2731227009854078	0.7723337855672151	2.0986281346917988	0.34368299603270835
T0_Sat1	Binned Ages - 36-45	0.19908089072838933	-0.2495000740674211	0.6476618555241997	1.2202806712999836	0.779190223116653	1.9110672497817098	0.3843906394308778
T0_Sat1	Binned Ages - 46-55	0.4252894251118732	-0.07546655889127996	0.9260454091150263	1.5300331856124112	0.9273107403147793	2.524506022954723	0.09599515876157558
T0_Sat1	Binned Ages - >=56	0.4443763284599366	-0.04620195788399678	0.9349546148038699	1.5595172659348582	0.9548491034122334	2.5470978545799987	0.07583559413710123
T0_Sat1	T0 Patient gender - Female	0.0700806614198405	-0.29207433695627766	0.4322356597959586	1.0725946947760119	0.746713025536613	1.5406981529951047	0.7044852300271874
T0_Sat1	T0 SF12 Physical Functioning Scale - 0.0	1.7033375818796952	1.000779331070217	2.4058958326891733	5.49224766168903	2.720401095643689	11.088359148815575	2.0152288668685007e-06
T0_Sat1	T0 SF12 Physical Functioning Scale - 25.0	0.5818667635352472	-0.08148191689774398	1.2452154439682386	1.7893756561013132	0.9217493777914358	3.473683102797268	0.08557553269187515
T0_Sat1	T0 SF12 Physical Functioning Scale - 50.0	0.4412339884594835	-0.07118108300261916	0.9536490599215861	1.5546244239613538	0.9312932354822271	2.595162304948681	0.0914689030098198
T0_Sat1	T0 SF12 Physical Functioning Scale - 75.0	0.003836667969634313	-0.45251305140254033	0.460186387341809	1.0038440374018631	0.6360277710626026	1.5843692638510394	0.9868530525241571
T0_Sat1	T0 SIMD 2004 Quintile - Binned - 5 (Most Deprived)	0.3895713259247474	-0.12063780935961488	0.8997804612091097	1.4763477861933456	0.8863549309230006	2.45906319213261	0.1345143248917755
T0_Sat1	T0 Satisfaction - The visit overall? - Poor	-0.4618060116153395	-1.6662056387737412	0.7425936155430621	0.6301445688130449	0.18896269983429284	2.101378621033632	0.45234339384235833
T0_Sat1	T0 Satisfaction - The visit overall? - Fair	0.45316465600063316	-0.2956383527970087	1.2019676647982749	1.5732832157103962	0.7440564653085023	3.3266562314054533	0.23556638140947106
T0_Sat1	T0 Satisfaction - The visit overall? - Good	0.19324869070671616	-0.2824823523323984	0.6689797337458308	1.2131844637079352	0.7539099465940617	1.9522444950242857	0.4259360548279729
T0_Sat1	T0 Satisfaction - The visit overall? - Very Good	0.3085668431065469	-0.09533988805747312	0.712473574270567	1.3614725115582822	0.9090639019892159	2.0390287147831394	0.13430854992286986
