	llrp
AgeBins	0.08939073664499197
Gender	0.05517322099577748
T0_SF12_PF	5.081533771544855e-08
T0_SIMD04_bin	0.8504644742240767
T0_Sat5_Poor_Bin	0.22419654677169687
