	ExpGroups	0.0	1.0	chi2p	fisher2p
CGI_N	1.0	234.0	482.0	0.5241767029881379	0.5151243598021022
CGI_N	2.0	636.0	1229.0	0.5241767029881379	0.5151243598021022
CGI_%	1.0	0.3268156424581006	0.6731843575418994	0.5241767029881379	0.5151243598021022
CGI_%	2.0	0.34101876675603215	0.6589812332439678	0.5241767029881379	0.5151243598021022
IPS_N	1.0	293.0	428.0	0.06167996929320564	0.057663379600826764
IPS_N	2.0	843.0	1039.0	0.06167996929320564	0.057663379600826764
IPS_%	1.0	0.406380027739251	0.5936199722607489	0.06167996929320564	0.057663379600826764
IPS_%	2.0	0.4479277364505845	0.5520722635494155	0.06167996929320564	0.057663379600826764
