		Not Explained	Explained
T1_SF12_NormedPCS	cohend	-0.1382215986231059	-0.1382215986231059
T1_SF12_NormedPCS	tTestp	0.03570742551249354	0.03570742551249354
T2_HADS	CI	(12.77, 14.13)	(10.9, 11.66)
T2_HADS	Mean	13.452522255192878	11.27877094972067
T2_HADS	N	674	1790
T2_HADS	SD	8.98777283277456	8.261580563858823
T2_HADS	cohend	0.25675408487791107	0.25675408487791107
T2_HADS	tTestp	1.4934823021374096e-08	1.4934823021374096e-08
T2_PHQNeuro28_Total	CI	(9.99, 10.96)	(8.06, 8.62)
T2_PHQNeuro28_Total	Mean	10.47749196141479	8.337853773584905
T2_PHQNeuro28_Total	N	622	1696
T2_PHQNeuro28_Total	SD	6.178658517414157	5.935414923764665
T2_PHQNeuro28_Total	cohend	0.3565110352358944	0.3565110352358944
T2_PHQNeuro28_Total	tTestp	4.100343926230523e-14	4.100343926230523e-14
T2_SF12_NormedMCS	CI	(17.32, 20.09)	(22.37, 24.16)
T2_SF12_NormedMCS	Mean	18.70488400868307	23.26628381898453
T2_SF12_NormedMCS	N	691	1812
T2_SF12_NormedMCS	SD	18.606391345178736	19.402679191790916
T2_SF12_NormedMCS	cohend	-0.23774263261868997	-0.23774263261868997
T2_SF12_NormedMCS	tTestp	1.1461770087645301e-07	1.1461770087645301e-07
T2_SF12_NormedPCS	CI	(28.67, 31.06)	(30.95, 32.48)
T2_SF12_NormedPCS	Mean	29.862259529667156	31.713713805187684
T2_SF12_NormedPCS	N	691	1812
T2_SF12_NormedPCS	SD	16.022897986488736	16.654167792365445
T2_SF12_NormedPCS	cohend	-0.1123290166621831	-0.1123290166621831
T2_SF12_NormedPCS	tTestp	0.012055578342245615	0.012055578342245615
