		coeff	coeffLCI	coeffUCI	OR	ORLCI	ORUCI	p	llrp
AgeBinInt	constant	0.3023954940289306	0.16525138279613844	0.4395396052617228	1.353096262393144	1.1796896351193191	1.551992524811082	1.548901132851509e-05	1.0
AgeBinInt	Binned Ages (IntEnc)	0.23172928280949925	0.16158363046766339	0.3018749351513351	1.2607783682466296	1.1753707508537576	1.3523920794217643	9.491987320850983e-11	7.704126225860364e-11
Gender_bin	constant	0.7950273265095879	0.6652338333671602	0.9248208196520155	2.2145015105740167	1.944945261267459	2.521416431606311	3.3278484740203245e-33	1.0
Gender_bin	T0 Patient gender - Female	-0.19923322738376772	-0.36626985111034627	-0.032196603657189155	0.8193587741434171	0.6933156839568558	0.9683161888597639	0.01940019493269289	0.01906564937795374
ExpGroups_bin	constant	0.6587575462259132	0.5630198418097387	0.7544952506420877	1.9323899371069193	1.7559672449295027	2.1265378837872335	1.8848578316159556e-41	1.0
ExpGroups_bin	Broad organicity groups - Not Explained	0.06386545246698566	-0.11930668054404145	0.24703758547801277	1.0659489683086096	0.8875355691288145	1.2802272298264112	0.4943742921795462	0.493657992813078
T0_PHQNeuro28_BinInt	constant	0.3566569261106468	0.23381445729366745	0.47949939492762617	1.4285456890489066	1.2634100539386794	1.615265589614553	1.2666995824751825e-08	1.0
T0_PHQNeuro28_BinInt	T0 PHQ13 & Neurosymptoms 15 - Binned (IntEnc)	0.25271597561190967	0.17843699887758613	0.3269949523462332	1.2875175385167552	1.1953475726624245	1.386794477104269	2.5879027544731817e-11	1.565869656161567e-11
T0_SF12_PF_BinInt	constant	1.5382623888967835	1.345428774959655	1.731096002833912	4.65649206494524	3.8398326117508654	5.64683947017449	4.2097742816572094e-55	1.0
T0_SF12_PF_BinInt	T0 SF12 PF - Recoded (IntEnc)	-0.31579996375858727	-0.3764908177423113	-0.25510910977486323	0.7292053030672483	0.6862654191237596	0.7748319516089512	2.0132815208880053e-24	0.0
T0_HADS_BinInt	constant	0.44078864589691885	0.3268861616041175	0.5546911301897203	1.553932237678008	1.3866436149102968	1.7414030348751082	3.329482894908919e-14	1.0
T0_HADS_BinInt	T0 HADS - Binned (IntEnc)	0.23243217513298162	0.14890538263360825	0.315958967632355	1.2616648712048462	1.160563174582872	1.3715739755437812	4.9237372997800675e-08	3.0520296623315346e-08
T0_NegExpectation	constant	0.3548429840625722	0.25056342021551525	0.45912254790962914	1.4259567387687189	1.2847490664050356	1.5826846455935673	2.568958678631459e-11	1.0
T0_NegExpectation	T0 IPQ1 - Agree or Strongly agree (>3) - Negative Expectation	0.8043204861105524	0.631763926327314	0.9768770458937908	2.2351771487507595	1.880925468748462	2.656148246863734	6.493549979097104e-20	0.0
T0_LackofPsychAttribution	constant	0.5405105055639025	0.4148546189654963	0.6661663921623087	1.7168831168831176	1.5141505959099701	1.9467598830661856	3.432756149725067e-17	1.0
T0_LackofPsychAttribution	T0 Causal Attribution - Strongly agree or agree to stress & worry or emotional factors (df['T0_C7'] > 3) | (df['T0_C8'] > 3) - No Psychological Attribution	0.2322014854083926	0.06662595732024823	0.397777013496537	1.2613738516520852	1.0688955908206283	1.4885120747949772	0.005984414316904569	0.006045082384432021
T0_IllnessWorry	constant	0.5943913488697079	0.49272257003968334	0.6960601276997325	1.8119277773824047	1.6367663703653548	2.005834387785656	2.128377162984859e-30	1.0
T0_IllnessWorry	T0 Whiteley Index - Sum of (T0_Wserious, T0_Wseriousworry, T0_Wattention)	0.12383957971338516	0.03335887885966535	0.21432028056710498	1.1318342872539446	1.0339215252457703	1.2390194250952755	0.007305813034042599	0.006802894239305468
T0_IncapacityBenefitorDLA	constant	0.48838315150679423	0.39735041057311865	0.5794158924404698	1.6296791443850267	1.4878772066202641	1.7849954968235084	7.364546762443039e-26	1.0
T0_IncapacityBenefitorDLA	T0 Socioeconomic - Are you currently receiving incapacity benefit or disability living allowance? - Yes	0.9276373898782967	0.7052874203084494	1.149987359448144	2.52852818873582	2.024428463164218	3.158152988640834	2.9121334670743213e-16	0.0
T0_SIMD04_bin	constant	0.6140681956842025	0.5151463659876767	0.7129900253807282	1.8479338842975197	1.6738834834779144	2.040082045400011	4.6764701289403815e-34	1.0
T0_SIMD04_bin	T0 SIMD 2004 Quintile - Binarised - 4-5 (Most Deprived)	0.19139637732730083	0.016012206030891846	0.3667805486237098	1.2109393458669464	1.0161410883799145	1.4430811982089842	0.03244339747643177	0.031685761943505586
ExpGroups_bin*T0_IncapacityBenefitorDLA	constant	0.6142082811365579	0.5297543050127036	0.6986622572604122	1.8481927710843373	1.6985149407412643	2.0110606254647805	4.219511798867387e-46	1.0
ExpGroups_bin*T0_IncapacityBenefitorDLA	Interaction Term - Expgroups & Incapacity Benefit or DLA - Not Explained & In Receipt of DLA	0.9531813950540425	0.5741249492923081	1.3322378408157771	2.593948922463378	1.7755761277770192	3.7895142354571623	8.283927290530448e-07	8.016716579462013e-08
ExpGroups_bin*T0_LackofPsychAttribution	constant	0.627395802997165	0.5399150203986951	0.7148765855956349	1.872727272727273	1.7158610428017977	2.043934415743736	7.028193166991662e-45	1.0
ExpGroups_bin*T0_LackofPsychAttribution	Interaction Term - Expgroups & Lack of Psychological Attribution - Not Explained & Lack of Psych Attribution	0.3673665443184858	0.11968223367211872	0.6150508549648529	1.4439270853972663	1.1271386279638673	1.8497506661715444	0.0036488067786713914	0.0030274145478820236
ExpGroups_bin*T0_SIMD04_bin	constant	0.6630263517241703	0.5772962555868318	0.7487564478615089	1.9406565656565664	1.781215961620993	2.1143690529241392	6.695051165341232e-52	1.0
