	Age	T0_PHQ13_Total	T0_PHQNeuro28_Total	T0_HADS	T0_IllnessWorry	T0_SF12_PF
p	4.505487885673765e-43	9.397850808441477e-08	2.0364827928483003e-09	6.827213429480235e-12	1.0204585526794714e-06	0.0891282502304879
stat	-13.933927455721536	5.348481068567202	6.009735558825089	6.883259313981174	4.895738852427294	1.700452408333877
effect	-0.48684673133502937	0.18741675153677861	0.21163595359323664	0.2415338183703983	0.17142227563748746	0.059458042737733745
effectCI	[-0.5562208436073639, -0.41747261906269484]	[0.11858739587128701, 0.2562461072022702]	[0.1424282085679313, 0.28084369861854197]	[0.17252224299182825, 0.3105453937489684]	[0.10266632680429921, 0.24017822447067572]	[-0.009106631007179712, 0.1280227164826472]
