	ExpGroups	1.0	2.0	3.0	4.0	5.0
N	1.0	0.18660714285714286	0.20535714285714285	0.20714285714285716	0.18928571428571428	0.21160714285714285
N	2.0	0.21953125	0.238671875	0.171875	0.179296875	0.190625
%	1.0	209.0	230.0	232.0	212.0	237.0
%	2.0	562.0	611.0	440.0	459.0	488.0
