	ExpGroups	0.0	1.0	2.0	3.0	4.0
CGI_N	1.0	20.0	116.0	346.0	161.0	73.0
CGI_N	2.0	46.0	293.0	890.0	414.0	222.0
CGI_%	1.0	0.027932960893854747	0.16201117318435754	0.48324022346368717	0.22486033519553073	0.10195530726256984
CGI_%	2.0	0.024664879356568366	0.15710455764075068	0.4772117962466488	0.22198391420911529	0.11903485254691688
IPS_N	1.0	30.0	105.0	293.0	179.0	114.0
IPS_N	2.0	68.0	297.0	674.0	471.0	372.0
IPS_%	1.0	0.04160887656033287	0.14563106796116504	0.406380027739251	0.24826629680998613	0.15811373092926492
IPS_%	2.0	0.036131774707757705	0.15781083953241232	0.35812964930924546	0.2502656748140276	0.19766206163655686
