	Age	T0_PHQ13_Total	T0_PHQNeuro28_Total	T0_HADS	T0_IllnessWorry	T0_SF12_PF
p	2.4536549230402813e-08	5.158367750788866e-26	6.035004855204596e-21	3.4623068591510774e-15	3.2598065327906045e-06	0.1110148961279555
stat	-5.593926428193647	10.664873552199747	9.471941170127767	7.921585814883355	4.664000536578534	-1.5941956573056948
effect	-0.24593187633194935	0.4698282527495447	0.4186506833759667	0.3489299515061551	0.20551003246603886	-0.07010302020029932
effectCI	[-0.3323959835906914, -0.1594677690732073]	[0.3824983422229429, 0.5571581632761465]	[0.3312288800817298, 0.5060724866702037]	[0.26203560367734446, 0.4358242993349657]	[0.11893042134193171, 0.292089643590146]	[-0.15634660437645703, 0.016140563975858377]
